AccX,AccY,AccZ,GyroX,GyroY,GyroZ
259.00,136.00,-4435.00,27.00,4.00,-20.00
262.00,139.00,-4455.00,35.00,2.00,-24.00
259.00,145.00,-4409.00,35.00,13.00,-41.00
252.00,151.00,-4447.00,39.00,0.00,-36.00
246.00,161.00,-4440.00,37.00,1.00,-25.00
277.00,134.00,-4436.00,45.00,11.00,-41.00
248.00,158.00,-4448.00,37.00,-1.00,-34.00
271.00,123.00,-4425.00,41.00,-1.00,-33.00
254.00,166.00,-4437.00,35.00,-2.00,-32.00
264.00,125.00,-4423.00,31.00,12.00,-28.00
247.00,143.00,-4410.00,40.00,2.00,-29.00
267.00,128.00,-4446.00,47.00,-2.00,-18.00
267.00,150.00,-4439.00,31.00,7.00,-28.00
267.00,151.00,-4438.00,39.00,9.00,-33.00
235.00,135.00,-4416.00,43.00,10.00,-32.00
249.00,127.00,-4436.00,47.00,19.00,-38.00
260.00,131.00,-4474.00,22.00,7.00,-29.00
255.00,124.00,-4455.00,40.00,6.00,-31.00
276.00,155.00,-4447.00,37.00,-4.00,-24.00
257.00,141.00,-4456.00,40.00,-4.00,-24.00
255.00,139.00,-4439.00,57.00,5.00,-30.00
260.00,119.00,-4460.00,29.00,2.00,-31.00
246.00,146.00,-4427.00,29.00,12.00,-29.00
281.00,144.00,-4434.00,33.00,-6.00,-39.00
262.00,156.00,-4417.00,27.00,-4.00,-27.00
255.00,161.00,-4411.00,27.00,20.00,-25.00
264.00,145.00,-4436.00,31.00,7.00,-36.00
245.00,156.00,-4444.00,31.00,0.00,-27.00
265.00,144.00,-4452.00,44.00,0.00,-32.00
284.00,129.00,-4469.00,41.00,11.00,-32.00
254.00,168.00,-4484.00,33.00,3.00,-25.00
262.00,143.00,-4431.00,32.00,3.00,-30.00
244.00,146.00,-4440.00,39.00,6.00,-30.00
284.00,141.00,-4425.00,32.00,4.00,-29.00
272.00,156.00,-4452.00,38.00,15.00,-36.00
253.00,165.00,-4443.00,40.00,15.00,-36.00
277.00,169.00,-4447.00,30.00,10.00,-38.00
262.00,146.00,-4451.00,30.00,10.00,-35.00
245.00,152.00,-4439.00,19.00,5.00,-29.00
252.00,139.00,-4439.00,36.00,8.00,-34.00
267.00,137.00,-4456.00,27.00,4.00,-30.00
267.00,151.00,-4439.00,43.00,5.00,-29.00
235.00,158.00,-4440.00,37.00,16.00,-32.00
280.00,155.00,-4452.00,35.00,2.00,-35.00
260.00,151.00,-4402.00,33.00,11.00,-37.00
268.00,132.00,-4454.00,35.00,6.00,-35.00
246.00,127.00,-4449.00,28.00,15.00,-38.00
240.00,121.00,-4432.00,35.00,4.00,-33.00
248.00,147.00,-4445.00,36.00,1.00,-38.00
262.00,148.00,-4404.00,40.00,7.00,-29.00
237.00,151.00,-4426.00,35.00,0.00,-13.00
245.00,146.00,-4445.00,43.00,-1.00,-24.00
269.00,148.00,-4426.00,37.00,4.00,-36.00
242.00,146.00,-4447.00,49.00,-3.00,-28.00
267.00,139.00,-4437.00,39.00,-5.00,-35.00
281.00,155.00,-4484.00,39.00,4.00,-34.00
249.00,148.00,-4426.00,32.00,7.00,-31.00
255.00,136.00,-4440.00,35.00,11.00,-36.00
245.00,145.00,-4458.00,36.00,12.00,-30.00
255.00,149.00,-4449.00,34.00,7.00,-31.00
