AccX,AccY,AccZ,GyroX,GyroY,GyroZ
346.00,439.00,-4391.00,15.00,15.00,-26.00
378.00,450.00,-4399.00,32.00,-3.00,-26.00
358.00,450.00,-4413.00,67.00,-9.00,-26.00
332.00,444.00,-4393.00,42.00,4.00,-29.00
343.00,469.00,-4424.00,10.00,11.00,-36.00
344.00,459.00,-4417.00,28.00,15.00,-22.00
346.00,459.00,-4446.00,52.00,-8.00,-21.00
344.00,455.00,-4421.00,55.00,2.00,-20.00
344.00,451.00,-4390.00,19.00,5.00,-22.00
337.00,428.00,-4430.00,7.00,13.00,-31.00
351.00,441.00,-4403.00,30.00,7.00,-26.00
344.00,448.00,-4415.00,54.00,0.00,-37.00
344.00,446.00,-4384.00,58.00,10.00,-41.00
336.00,454.00,-4423.00,29.00,19.00,-34.00
341.00,456.00,-4438.00,24.00,12.00,-31.00
309.00,482.00,-4399.00,44.00,-5.00,-22.00
351.00,443.00,-4412.00,45.00,-6.00,-28.00
351.00,458.00,-4423.00,31.00,15.00,-26.00
315.00,480.00,-4377.00,16.00,38.00,-21.00
313.00,452.00,-4418.00,7.00,-4.00,-26.00
349.00,426.00,-4429.00,43.00,15.00,-21.00
354.00,457.00,-4400.00,33.00,-6.00,-32.00
314.00,457.00,-4442.00,15.00,16.00,-29.00
324.00,505.00,-4416.00,16.00,28.00,-22.00
357.00,477.00,-4376.00,38.00,0.00,-27.00
315.00,450.00,-4386.00,75.00,6.00,-20.00
340.00,434.00,-4404.00,16.00,-3.00,-25.00
333.00,461.00,-4389.00,11.00,23.00,-20.00
337.00,449.00,-4399.00,45.00,9.00,-29.00
374.00,442.00,-4401.00,58.00,-1.00,-35.00
353.00,447.00,-4387.00,52.00,3.00,-26.00
335.00,427.00,-4400.00,28.00,12.00,-18.00
344.00,460.00,-4421.00,19.00,-2.00,-31.00
342.00,457.00,-4395.00,41.00,2.00,-17.00
371.00,440.00,-4398.00,47.00,5.00,-33.00
352.00,454.00,-4416.00,40.00,9.00,-25.00
369.00,485.00,-4400.00,39.00,1.00,-23.00
355.00,453.00,-4393.00,32.00,1.00,-25.00
338.00,471.00,-4426.00,50.00,-1.00,-20.00
318.00,451.00,-4364.00,42.00,-8.00,-44.00
365.00,440.00,-4397.00,36.00,1.00,-19.00
368.00,439.00,-4392.00,21.00,10.00,-17.00
353.00,449.00,-4409.00,27.00,10.00,-17.00
337.00,448.00,-4418.00,45.00,-3.00,-19.00
345.00,462.00,-4429.00,32.00,6.00,-35.00
374.00,470.00,-4414.00,24.00,17.00,-28.00
347.00,444.00,-4401.00,12.00,2.00,-32.00
335.00,472.00,-4412.00,39.00,12.00,-18.00
353.00,438.00,-4421.00,55.00,5.00,-27.00
342.00,457.00,-4401.00,24.00,-4.00,-25.00
357.00,463.00,-4381.00,15.00,2.00,-28.00
363.00,452.00,-4417.00,46.00,3.00,-31.00
332.00,434.00,-4386.00,49.00,0.00,-27.00
359.00,448.00,-4432.00,53.00,3.00,-37.00
344.00,439.00,-4387.00,26.00,14.00,-20.00
347.00,463.00,-4421.00,36.00,7.00,-27.00
328.00,441.00,-4377.00,42.00,13.00,-37.00
356.00,452.00,-4421.00,42.00,9.00,-29.00
336.00,444.00,-4401.00,17.00,6.00,-24.00
376.00,451.00,-4374.00,26.00,14.00,-28.00
345.00,442.00,-4431.00,27.00,1.00,-29.00
346.00,461.00,-4401.00,40.00,4.00,-31.00
330.00,476.00,-4395.00,34.00,3.00,-24.00
360.00,450.00,-4410.00,37.00,5.00,-19.00
359.00,439.00,-4398.00,20.00,15.00,-33.00
372.00,430.00,-4410.00,31.00,-1.00,-18.00
340.00,438.00,-4426.00,53.00,4.00,-30.00
365.00,447.00,-4403.00,34.00,-1.00,-20.00
351.00,455.00,-4403.00,24.00,17.00,-20.00
330.00,441.00,-4345.00,34.00,18.00,-32.00
370.00,480.00,-4370.00,401.00,-187.00,-334.00
350.00,424.00,-4421.00,706.00,-246.00,-162.00
418.00,404.00,-4429.00,127.00,-65.00,-291.00
313.00,415.00,-4383.00,97.00,-48.00,-327.00
346.00,474.00,-4414.00,505.00,-184.00,-271.00
302.00,441.00,-4417.00,261.00,-127.00,-222.00
344.00,429.00,-4412.00,116.00,-123.00,-225.00
349.00,461.00,-4423.00,131.00,-74.00,1.00
327.00,401.00,-4436.00,-180.00,82.00,101.00
316.00,414.00,-4396.00,-539.00,189.00,93.00
339.00,433.00,-4388.00,-235.00,51.00,243.00
235.00,444.00,-4381.00,79.00,-195.00,242.00
297.00,441.00,-4409.00,95.00,-309.00,218.00
296.00,442.00,-4423.00,111.00,-414.00,180.00
320.00,433.00,-4393.00,308.00,-701.00,228.00
411.00,412.00,-4470.00,231.00,-834.00,326.00
127.00,415.00,-4452.00,-33.00,-955.00,-56.00
442.00,444.00,-4397.00,-307.00,-983.00,197.00
192.00,440.00,-4382.00,-197.00,-1254.00,-98.00
143.00,466.00,-4362.00,-70.00,-924.00,-173.00
435.00,423.00,-4397.00,133.00,-1026.00,-135.00
317.00,442.00,-4351.00,656.00,-1074.00,-214.00
216.00,497.00,-4367.00,1037.00,-1309.00,-104.00
180.00,429.00,-4371.00,1290.00,-1385.00,-30.00
-268.00,391.00,-4409.00,1377.00,-1203.00,-138.00
181.00,413.00,-4348.00,1217.00,-1149.00,-361.00
379.00,453.00,-4321.00,1352.00,-1060.00,-366.00
194.00,388.00,-4270.00,1858.00,-1395.00,-283.00
320.00,346.00,-4580.00,2448.00,-1515.00,-100.00
188.00,356.00,-4490.00,2223.00,-1272.00,191.00
37.00,365.00,-4504.00,2471.00,-1420.00,322.00
145.00,361.00,-4475.00,2881.00,-1477.00,498.00
-59.00,611.00,-4409.00,2202.00,-1484.00,699.00
91.00,434.00,-4598.00,1629.00,-1397.00,967.00
-42.00,525.00,-4509.00,890.00,-1498.00,1226.00
-147.00,754.00,-4369.00,341.00,-1735.00,1613.00
39.00,379.00,-4569.00,392.00,-1987.00,2241.00
26.00,652.00,-4491.00,259.00,-1925.00,2718.00
143.00,371.00,-4507.00,-518.00,-1863.00,3271.00
54.00,100.00,-4607.00,320.00,-1751.00,3648.00
-30.00,-12.00,-4687.00,1256.00,-1559.00,3690.00
-69.00,-85.00,-4755.00,1957.00,-1221.00,3404.00
-47.00,-108.00,-4776.00,2206.00,-803.00,3015.00
-89.00,-144.00,-4715.00,2262.00,-512.00,2563.00
71.00,-224.00,-4649.00,2008.00,-427.00,2105.00
36.00,-373.00,-4654.00,1924.00,-490.00,1550.00
10.00,-375.00,-4727.00,1781.00,-583.00,898.00
27.00,-372.00,-4819.00,1719.00,-610.00,242.00
4.00,-222.00,-4880.00,1493.00,-508.00,-333.00
-70.00,-55.00,-4900.00,973.00,-319.00,-746.00
-76.00,72.00,-4859.00,618.00,-24.00,-894.00
-143.00,184.00,-4859.00,240.00,152.00,-798.00
-201.00,292.00,-4759.00,-124.00,232.00,-682.00
-5.00,288.00,-4722.00,-496.00,438.00,-350.00
-213.00,272.00,-4579.00,-640.00,477.00,-104.00
-140.00,176.00,-4516.00,-116.00,335.00,173.00
-101.00,155.00,-4591.00,424.00,174.00,475.00
186.00,183.00,-4693.00,1014.00,468.00,963.00
34.00,334.00,-4632.00,919.00,1173.00,1501.00
-230.00,154.00,-4442.00,728.00,1473.00,1715.00
-45.00,28.00,-4215.00,1169.00,1285.00,1912.00
-142.00,41.00,-4070.00,1150.00,828.00,1990.00
-237.00,-68.00,-4011.00,1089.00,350.00,1997.00
-147.00,-96.00,-3948.00,1616.00,-135.00,2144.00
-50.00,-89.00,-3957.00,1871.00,-549.00,2299.00
-175.00,-270.00,-4102.00,1944.00,-925.00,2275.00
98.00,-417.00,-4269.00,1749.00,-1221.00,1997.00
-194.00,-518.00,-4470.00,1441.00,-1129.00,1394.00
-29.00,-574.00,-4558.00,1103.00,-826.00,548.00
88.00,-388.00,-4540.00,1512.00,-609.00,138.00
280.00,-109.00,-4445.00,1490.00,-503.00,193.00
-156.00,89.00,-4328.00,1301.00,-573.00,477.00
-301.00,256.00,-4198.00,1217.00,-866.00,779.00
-182.00,462.00,-4238.00,1309.00,-1479.00,1587.00
-191.00,314.00,-4429.00,923.00,-1653.00,2454.00
-50.00,-84.00,-4507.00,1036.00,-1289.00,2987.00
-370.00,-442.00,-4447.00,921.00,-865.00,2693.00
-34.00,-577.00,-4249.00,997.00,-936.00,2172.00
-197.00,-414.00,-4262.00,1425.00,-1293.00,1997.00
-149.00,-421.00,-4276.00,654.00,-1507.00,1624.00
-294.00,-489.00,-4323.00,384.00,-1656.00,1190.00
37.00,-516.00,-4233.00,73.00,-1713.00,762.00
147.00,-502.00,-4369.00,59.00,-1582.00,524.00
-145.00,-471.00,-4422.00,416.00,-1377.00,409.00
-89.00,-477.00,-4403.00,663.00,-1245.00,162.00
-316.00,-382.00,-4422.00,1310.00,-1231.00,77.00
-286.00,-196.00,-4593.00,1589.00,-1095.00,32.00
-188.00,-12.00,-4590.00,1764.00,-926.00,306.00
-193.00,103.00,-4562.00,1941.00,-713.00,790.00
-179.00,138.00,-4505.00,2095.00,-636.00,1475.00
-130.00,-39.00,-4433.00,1661.00,-713.00,2013.00
-249.00,-387.00,-4250.00,1257.00,-844.00,1962.00
-159.00,-500.00,-4250.00,1697.00,-1226.00,1778.00
-148.00,-474.00,-4251.00,1635.00,-1676.00,1544.00
-162.00,-434.00,-4328.00,1527.00,-2145.00,1378.00
-434.00,-342.00,-4363.00,921.00,-2371.00,1168.00
-362.00,-320.00,-4450.00,396.00,-2592.00,1104.00
-167.00,-404.00,-4379.00,87.00,-2876.00,1174.00
-285.00,-533.00,-4541.00,-218.00,-2879.00,1072.00
-426.00,-623.00,-4508.00,117.00,-2657.00,765.00
-453.00,-549.00,-4479.00,233.00,-2386.00,398.00
-254.00,-487.00,-4439.00,548.00,-2264.00,285.00
-279.00,-330.00,-4338.00,989.00,-2235.00,457.00
-458.00,-241.00,-4451.00,683.00,-2300.00,648.00
-416.00,-260.00,-4424.00,185.00,-2496.00,851.00
-564.00,-375.00,-4517.00,-205.00,-2510.00,890.00
-539.00,-499.00,-4563.00,-80.00,-2409.00,900.00
-550.00,-526.00,-4519.00,479.00,-2251.00,858.00
-570.00,-462.00,-4376.00,659.00,-2177.00,743.00
-604.00,-476.00,-4391.00,556.00,-2234.00,570.00
-636.00,-451.00,-4306.00,342.00,-2378.00,366.00
-794.00,-385.00,-4269.00,-57.00,-2673.00,170.00
-772.00,-268.00,-4254.00,-888.00,-2870.00,45.00
-636.00,-244.00,-4308.00,-1187.00,-2977.00,177.00
-806.00,-197.00,-4336.00,-564.00,-2907.00,522.00
-878.00,-205.00,-4273.00,-106.00,-2730.00,800.00
-918.00,-198.00,-4304.00,409.00,-2561.00,1053.00
-975.00,-254.00,-4309.00,893.00,-2579.00,1229.00
-955.00,-280.00,-4291.00,929.00,-2568.00,1324.00
-982.00,-345.00,-4228.00,506.00,-2551.00,1250.00
-1004.00,-512.00,-4178.00,-171.00,-2705.00,990.00
-1003.00,-677.00,-4113.00,-493.00,-2872.00,546.00
-1075.00,-631.00,-4186.00,-667.00,-3052.00,41.00
-1131.00,-566.00,-4266.00,-837.00,-3027.00,-421.00
-1134.00,-355.00,-4253.00,-906.00,-2835.00,-708.00
-1198.00,-247.00,-4210.00,-717.00,-2595.00,-726.00
-1272.00,-67.00,-4102.00,-719.00,-2427.00,-569.00
-1304.00,24.00,-4053.00,-630.00,-2451.00,-245.00
-1320.00,127.00,-4003.00,-477.00,-2624.00,269.00
-1412.00,46.00,-3970.00,-846.00,-2828.00,704.00
-1371.00,-135.00,-3877.00,-1123.00,-3002.00,905.00
-1326.00,-255.00,-3872.00,-839.00,-3392.00,1033.00
-1409.00,-370.00,-3899.00,-1133.00,-3794.00,948.00
-1575.00,-507.00,-3930.00,-813.00,-4108.00,586.00
-1585.00,-406.00,-3951.00,-506.00,-4289.00,126.00
-1606.00,-213.00,-3954.00,-639.00,-4344.00,-137.00
-1756.00,-31.00,-3916.00,-617.00,-4310.00,-156.00
-1717.00,52.00,-3938.00,-479.00,-4212.00,37.00
-1690.00,25.00,-3869.00,-91.00,-4240.00,383.00
-1703.00,-16.00,-3932.00,512.00,-4343.00,728.00
-1767.00,-85.00,-3909.00,575.00,-4330.00,885.00
-1781.00,-200.00,-3932.00,606.00,-4212.00,834.00
-1844.00,-306.00,-3956.00,692.00,-3925.00,575.00
-1911.00,-266.00,-4034.00,567.00,-3567.00,164.00
-1908.00,-178.00,-3956.00,367.00,-3214.00,-184.00
-1956.00,-65.00,-3927.00,-46.00,-2868.00,-425.00
-1993.00,93.00,-3813.00,-210.00,-2588.00,-397.00
-2047.00,242.00,-3642.00,-78.00,-2409.00,-111.00
-2111.00,300.00,-3474.00,43.00,-2395.00,328.00
-2054.00,211.00,-3364.00,-55.00,-2699.00,838.00
-1970.00,-22.00,-3405.00,-204.00,-3188.00,1218.00
-1969.00,-339.00,-3611.00,-523.00,-3546.00,1155.00
-2017.00,-490.00,-3812.00,-648.00,-3624.00,707.00
-1955.00,-562.00,-3883.00,-425.00,-3547.00,224.00
-1899.00,-492.00,-3973.00,198.00,-3227.00,-65.00
-2035.00,-383.00,-3968.00,152.00,-2769.00,-331.00
-2120.00,-304.00,-3828.00,361.00,-2430.00,-549.00
-2152.00,-145.00,-3707.00,27.00,-2306.00,-626.00
-2167.00,-74.00,-3600.00,-84.00,-2394.00,-452.00
-2192.00,7.00,-3555.00,209.00,-2394.00,-170.00
-2258.00,97.00,-3461.00,25.00,-2485.00,142.00
-2303.00,-10.00,-3458.00,-512.00,-2651.00,301.00
-2309.00,-66.00,-3397.00,-481.00,-2812.00,496.00
-2160.00,-172.00,-3505.00,-488.00,-2879.00,587.00
-2267.00,-314.00,-3475.00,16.00,-2994.00,620.00
-2289.00,-306.00,-3481.00,-100.00,-3124.00,461.00
-2279.00,-376.00,-3476.00,-379.00,-3185.00,278.00
-2356.00,-323.00,-3491.00,73.00,-3274.00,220.00
-2327.00,-297.00,-3501.00,12.00,-3252.00,161.00
-2384.00,-332.00,-3505.00,-29.00,-3165.00,51.00
-2402.00,-316.00,-3508.00,-324.00,-3059.00,-175.00
-2447.00,-212.00,-3435.00,-410.00,-2904.00,-366.00
-2476.00,-163.00,-3376.00,-355.00,-2875.00,-404.00
-2488.00,-95.00,-3301.00,-66.00,-2907.00,-306.00
-2533.00,25.00,-3212.00,132.00,-2951.00,-78.00
-2566.00,21.00,-3193.00,-21.00,-3046.00,133.00
-2542.00,-92.00,-3111.00,194.00,-3218.00,338.00
-2571.00,-131.00,-3146.00,390.00,-3506.00,531.00
-2526.00,-237.00,-3220.00,302.00,-3656.00,537.00
-2591.00,-308.00,-3348.00,-68.00,-3679.00,377.00
-2702.00,-321.00,-3377.00,-659.00,-3681.00,4.00
-2765.00,-249.00,-3385.00,-888.00,-3641.00,-348.00
-2819.00,-88.00,-3360.00,-1060.00,-3468.00,-529.00
-2862.00,37.00,-3330.00,-843.00,-3349.00,-367.00
-2800.00,105.00,-3284.00,-617.00,-3197.00,-10.00
-2752.00,70.00,-3225.00,-716.00,-2982.00,412.00
-2709.00,-125.00,-3152.00,-1147.00,-2802.00,559.00
-2869.00,-257.00,-3110.00,-1446.00,-2706.00,432.00
-2830.00,-389.00,-3120.00,-1306.00,-2727.00,104.00
-2874.00,-248.00,-3149.00,-656.00,-2659.00,-108.00
-2925.00,-86.00,-3173.00,-124.00,-2445.00,-122.00
-3031.00,52.00,-3131.00,-19.00,-2246.00,-107.00
-3118.00,185.00,-3030.00,-189.00,-2136.00,-45.00
-3135.00,277.00,-2834.00,-745.00,-2259.00,44.00
-3147.00,312.00,-2737.00,-1220.00,-2715.00,306.00
-3088.00,141.00,-2907.00,-1826.00,-3086.00,537.00
-3002.00,-76.00,-3049.00,-1508.00,-3236.00,682.00
-2982.00,-198.00,-3230.00,-1158.00,-2979.00,618.00
-2982.00,-229.00,-3253.00,-574.00,-2447.00,447.00
-2990.00,-103.00,-3205.00,-492.00,-1977.00,310.00
-3124.00,-52.00,-3064.00,-697.00,-1744.00,179.00
-3111.00,12.00,-2927.00,-799.00,-1623.00,121.00
-3073.00,67.00,-2746.00,-1086.00,-1626.00,146.00
-3047.00,12.00,-2677.00,-1264.00,-1792.00,269.00
-3065.00,-110.00,-2710.00,-1217.00,-1995.00,289.00
-3067.00,-229.00,-2756.00,-831.00,-2037.00,87.00
-3005.00,-187.00,-2839.00,-222.00,-1963.00,-124.00
-3034.00,-10.00,-2869.00,-62.00,-1709.00,-265.00
-3041.00,55.00,-2865.00,-7.00,-1385.00,-316.00
-3097.00,151.00,-2703.00,507.00,-1108.00,-172.00
-3192.00,266.00,-2534.00,508.00,-1093.00,76.00
-3256.00,173.00,-2439.00,137.00,-1263.00,143.00
-3286.00,125.00,-2371.00,60.00,-1552.00,146.00
-3225.00,105.00,-2392.00,36.00,-1768.00,130.00
-3179.00,108.00,-2438.00,-93.00,-1889.00,161.00
-3155.00,19.00,-2372.00,-275.00,-1966.00,138.00
-3201.00,-28.00,-2435.00,-184.00,-2058.00,22.00
-3152.00,-96.00,-2405.00,-126.00,-2108.00,-180.00
-3174.00,-58.00,-2477.00,-280.00,-2136.00,-376.00
-3227.00,-37.00,-2542.00,-399.00,-2071.00,-603.00
-3254.00,68.00,-2472.00,-401.00,-2035.00,-699.00
-3319.00,112.00,-2581.00,-768.00,-2030.00,-755.00
-3294.00,122.00,-2542.00,-658.00,-1915.00,-723.00
-3365.00,158.00,-2530.00,-519.00,-1771.00,-617.00
-3348.00,137.00,-2535.00,-688.00,-1561.00,-584.00
-3403.00,89.00,-2471.00,-390.00,-1449.00,-537.00
-3410.00,120.00,-2453.00,71.00,-1380.00,-460.00
-3440.00,108.00,-2426.00,-65.00,-1261.00,-436.00
-3462.00,98.00,-2374.00,279.00,-1217.00,-316.00
-3413.00,101.00,-2340.00,249.00,-1189.00,-173.00
-3396.00,-55.00,-2381.00,327.00,-1240.00,-107.00
-3424.00,-111.00,-2461.00,366.00,-1256.00,-167.00
-3455.00,-92.00,-2561.00,176.00,-1102.00,-369.00
-3397.00,12.00,-2475.00,315.00,-846.00,-450.00
-3414.00,167.00,-2358.00,244.00,-696.00,-362.00
-3468.00,161.00,-2270.00,-29.00,-705.00,-244.00
-3447.00,118.00,-2193.00,98.00,-901.00,-82.00
-3448.00,100.00,-2234.00,-189.00,-1000.00,12.00
-3396.00,-23.00,-2320.00,-222.00,-1027.00,58.00
-3340.00,-30.00,-2331.00,-60.00,-892.00,60.00
-3336.00,-22.00,-2292.00,40.00,-756.00,50.00
-3357.00,-83.00,-2226.00,110.00,-682.00,-29.00
-3424.00,-23.00,-2187.00,354.00,-723.00,-130.00
-3436.00,49.00,-2155.00,144.00,-865.00,-227.00
-3481.00,90.00,-2130.00,118.00,-1115.00,-192.00
-3434.00,62.00,-2248.00,-3.00,-1222.00,-144.00
-3413.00,54.00,-2307.00,206.00,-1201.00,-79.00
-3468.00,27.00,-2331.00,57.00,-1058.00,-82.00
-3465.00,-17.00,-2303.00,53.00,-938.00,-119.00
-3463.00,-5.00,-2242.00,255.00,-856.00,-109.00
-3452.00,23.00,-2193.00,142.00,-787.00,-89.00
-3529.00,0.00,-2189.00,261.00,-798.00,-63.00
-3476.00,-18.00,-2266.00,371.00,-850.00,-76.00
-3560.00,6.00,-2296.00,391.00,-812.00,-135.00
-3553.00,27.00,-2322.00,300.00,-760.00,-178.00
-3612.00,101.00,-2362.00,306.00,-720.00,-184.00
-3559.00,162.00,-2368.00,261.00,-588.00,-74.00
-3548.00,218.00,-2295.00,180.00,-391.00,144.00
-3509.00,94.00,-2129.00,-49.00,-266.00,366.00
-3522.00,-38.00,-2015.00,41.00,-330.00,440.00
-3544.00,-100.00,-1982.00,-121.00,-558.00,347.00
-3532.00,-214.00,-2022.00,-113.00,-825.00,116.00
-3525.00,-157.00,-2178.00,168.00,-986.00,-100.00
-3499.00,-40.00,-2301.00,-42.00,-899.00,-238.00
-3523.00,1.00,-2329.00,34.00,-639.00,-250.00
-3503.00,79.00,-2270.00,318.00,-392.00,-137.00
-3502.00,132.00,-2160.00,85.00,-312.00,26.00
-3563.00,75.00,-2133.00,-58.00,-378.00,139.00
